IOName,Designation
R S BIRADAR   (PI),PI
G.H.KUPPI   (PSI),PSI
S G HELVAR   (ASI),ASI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
P.A.JADAV   (PSI),PSI
P.A.JADAV   (PSI),PSI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
C.A.KALABURGI   (ASI),ASI
Irappa Hadapad Rangappa Hadapad (ASI),ASI
R S BIRADAR   (PI),PI
Irappa Hadapad Rangappa Hadapad (ASI),ASI
Irappa Hadapad Rangappa Hadapad (ASI),ASI
C.A.KALABURGI   (ASI),ASI
C.A.KALABURGI   (ASI),ASI
C.A.KALABURGI   (ASI),ASI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
Irappa Hadapad Rangappa Hadapad (ASI),ASI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
C.A.KALABURGI   (ASI),ASI
C.A.KALABURGI   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
G.H.KUPPI   (PSI),PSI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
M.B.NILAGAR   (HC),HC
M.B.NILAGAR   (HC),HC
S G HELVAR   (ASI),ASI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
S G HELVAR   (ASI),ASI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
V.P.JAGALI   (Dy.SP),Dy.SP
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
LAXMIKANTHA S BANNIKOL  (PSI),PSI
Mallikarjun Guruputrappa Kulkarni (PSI),PSI
S G HELVAR   (ASI),ASI
Karuneshagowda J   (PI),PI
S G HELVAR   (ASI),ASI
C.A.KALABURGI   (ASI),ASI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
M.B.NILAGAR   (HC),HC
S G HELVAR   (ASI),ASI
B.B.YADAVE   (ASI),ASI
R S BIRADAR   (PI),PI
S G HELVAR   (ASI),ASI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
B.B.YADAVE   (ASI),ASI
B.B.YADAVE   (ASI),ASI
C.Y.SIDDANAVAR   (ASI),ASI
C.Y.SIDDANAVAR   (ASI),ASI
C.Y.SIDDANAVAR   (ASI),ASI
C.Y.SIDDANAVAR   (ASI),ASI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
Karuneshagowda J   (PI),PI
C.Y.SIDDANAVAR   (ASI),ASI
SHRISHAIL K BYAKOD   (PI),PI
C.Y.SIDDANAVAR   (ASI),ASI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
G.H.KUPPI   (PSI),PSI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
M.B.NILAGAR   (HC),HC
C.Y.SIDDANAVAR   (ASI),ASI
R S BIRADAR   (PI),PI
C.Y.SIDDANAVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
B.B.YADAVE   (ASI),ASI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
B.B.YADAVE   (ASI),ASI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
P.A.JADAV   (PSI),PSI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
M.B.NILAGAR   (HC),HC
Karuneshagowda J   (PI),PI
SHRISHAIL K BYAKOD   (PI),PI
CHANDRASHEKHAR P   (PSI),PSI
S G HELVAR   (ASI),ASI
R S BIRADAR   (PI),PI
B.B.YADAVE   (ASI),ASI
P.A.JADAV   (PSI),PSI
G.H.KUPPI   (PSI),PSI
Ayyanagouda V Patil (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
S G HELVAR   (ASI),ASI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
JAIWANTH DHULARI   (PI),PI
SHRISHAIL K BYAKOD   (PI),PI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
S G HELVAR   (ASI),ASI
R S BIRADAR   (PI),PI
C.A.KALABURGI   (ASI),ASI
C.A.KALABURGI   (ASI),ASI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
G.H.KUPPI   (PSI),PSI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
S G HELVAR   (ASI),ASI
SHRISHAIL K BYAKOD   (PI),PI
G.H.KUPPI   (PSI),PSI
G.H.KUPPI   (PSI),PSI
Karuneshagowda J   (PI),PI
R S BIRADAR   (PI),PI
G.H.KUPPI   (PSI),PSI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
Karuneshagowda J   (PI),PI
P.A.JADAV   (PSI),PSI
P.A.JADAV   (PSI),PSI
SHRISHAIL K BYAKOD   (PI),PI
C.A.KALABURGI   (ASI),ASI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
S G HELVAR   (ASI),ASI
S G HELVAR   (ASI),ASI
R S BIRADAR   (PI),PI
C.A.KALABURGI   (ASI),ASI
G.H.KUPPI   (PSI),PSI
Karuneshagowda J   (PI),PI
P.A.JADAV   (PSI),PSI
SHRISHAIL K BYAKOD   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
R S BIRADAR   (PI),PI
C.A.KALABURGI   (ASI),ASI
C.A.KALABURGI   (ASI),ASI
T.C.BASARAKOD   (ASI),ASI
R S BIRADAR   (PI),PI
P.A.JADAV   (PSI),PSI
SHRISHAIL K BYAKOD   (PI),PI
T.C.BASARAKOD   (ASI),ASI
S G HELVAR   (ASI),ASI
SHRISHAIL K BYAKOD   (PI),PI
SHRISHAIL K BYAKOD   (PI),PI
C.A.KALABURGI   (ASI),ASI
P.A.JADAV   (PSI),PSI
P.A.JADAV   (PSI),PSI
G.H.KUPPI   (PSI),PSI
CHANDRASHEKHAR P   (PSI),PSI
Karuneshagowda J   (PI),PI
P.A.JADAV   (PSI),PSI
Karuneshagowda J   (PI),PI
G.H.KUPPI   (PSI),PSI
Karuneshagowda J   (PI),PI
P.A.JADAV   (PSI),PSI
T.C.BASARAKOD   (ASI),ASI
G.H.KUPPI   (PSI),PSI
G.H.KUPPI   (PSI),PSI
S G HELVAR   (ASI),ASI
R.S.AMBIGER   (WHC),WHC
G.H.KUPPI   (PSI),PSI
P.A.JADAV   (PSI),PSI
GIRISH S B   (Dy.SP),Dy.SP
R.S.AMBIGER   (WHC),WHC
G.H.KUPPI   (PSI),PSI
LAXMIKANTHA S BANNIKOL  (PSI),PSI
P.A.JADAV   (PSI),PSI
K.S.KADASIDDANNAVAR   (HC),HC
G.H.KUPPI   (PSI),PSI
